query;doc_id;judul;snippet;Relevant
salah;1156;[SALAH] Jogja Jebol Besar!! Gempa Luar Biasa Sapu Bersih Gunung Kidul, Gempa Yogyakarta;Hasil periksa fakta Syifa Ainun. Klaim yang menyatakan bahwa Jogja jebol akibat gempa luar biasa yang menyebabkan Gunungkidul tersapu bersih adalah salah. Salah satu sumber video yang digunakan sebaga;1
salah;1674;[SALAH] Foto Bapaknya Jokowi Seorang Tentara Komunis;Hasil periksa fakta Amanda Rahma Foto yang digunakan dalam unggahan tersebut bukanlah bapak dari Presiden Indonesia melainkan Jenderal Wang Zhen yang menjadi salah satu tetua Partai Komunis Tiongkok. ;1
salah;1807;[SALAH] Jokowi Sebut PKI Tidak Bersalah;Hasil Periksa Fakta Luthfiyah Video yang memuat tangkapan layar artikel dengan judul “Jokowi: Sejarah Aslinya, PKI itu Tidak Bersalah Apalagi Mengancam, Yang Berbahaya Itu Islam Radikal” merupakan hoa;1
salah;1424;[SALAH] Video Salah Satu Tentara Palestina yang Membunuh Tiga Tentara Israel karena Berhasil Menyamar;Hasil periksa fakta Evarizma Zahra. Konteks yang salah. Video tersebut diambil saat baku tembak antara tentara Ukraina dan tentara bayaran asing di Ukraina, tidak ada hubungannya dengan konflik Israel;1
salah;1040;[SALAH] Video Kebakaran di Israel Akibat Rudal dari Hizbullah;Hasil periksa fakta Evarizma Zahra. Konteks yang salah. Video itu adalah kebakaran gudang di Novo Progresso, Brazil, pada 11 Agustus lalu, bukan Israel yang terbakar akibat rudal dari Hizbullah Septem;1
salah;1169;[SALAH] Prabowo Akan Penjarakan Anggota DPR yang Tolak RUU Perampasan Aset;Hasil periksa fakta Moch. Marcellodiansyah Postingan tersebut merupakan tangkapan layar dari judul artikel periksa fakta Mafindo di turnbackhoax.id, hanya saja telah dimanipulasi dengan menghilangkan ;1
salah;2448;[SALAH] Rekaman Detik – Detik Jatuhnya Helikopter Ebrahim Raisi; Periksa Fakta Vania.Faktanya, video tersebut merupakan rekaman video dari salah satu penyintas jatuhnya helikopter di hutan Panama pada 10 Agustus 2022, bukan video rekaman jatuhnya helikopter Ebrahi;1
salah;1687;[SALAH] Foto Murid SD yang Mengalami Gizi Buruk di Salah Satu SD Indonesia;Hasil periksa fakta Evarizma Zahra. Konteks yang salah. Foto tersebut merupakan kegiatan belajar mengajar di SD salah satu desa di Kamboja, bukan Indonesia. ===== KATEGORI: KONTEKS YANG SALAH ===== Su;1
salah;1052;[SALAH] Video “Misa Umat Katolik Bersama Bapak Paus Fransiskus di GBK”;Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut merupakan momen saat perayaan Natal Tiberias 2023 di GBK yang diadakan oleh Gereja Tiberias Indonesia (GTI). GTI sendiri merupakan sa;1
salah;2336;[SALAH] Cara Memeriksa Ponsel yang Disadap dengan Nomor *#21#;Hasil periksa fakta Evarizma Zahra. Konten yang menyesatkan. *#21# adalah fitur untuk meneruskan panggilan, tidak ada hubungannya dengan ponsel yang diretas. ===== KATEGORI: KONTEN YANG MENYESATKAN ==;1
salah;1317;[SALAH] Video Anak-Anak Gaza Tidur di Luar;Hasil periksa fakta Evarizma Zahra. Konteks yang salah. Video yang menunjukkan anak-anak tidur di luar tersebut terjadi dan diambil di Turkiye, bukan di Gaza. ===== KATEGORI: KONTEKS YANG SALAH ===== ;1
salah;2598;[SALAH] Video Gunung Merapi yang Meletus;Hasil periksa fakta Evarizma Zahra. Konteks yang salah. Video tersebut diambil saat gunung Sinabung meletus tahun 2018, bukan letusan gunung Merapi pada 2023. ===== KATEGORI: KONTEKS YANG SALAH ===== ;1
salah;1062;[SALAH] SINGA MENGGALI KUBURAN SENDIRI; Hasil pemeriksa fakta Yudho Ardi Informasi yang menyesatkan, faktanya informasi tersebut merupakan Hoax Lama Bersemi Kembali (HLBK). Nyatanya, Singa tersebut menggali lubang persembunyian babi hutan ;1
salah;1324;[SALAH] Video “Gelombang Panas di Tiongkok Membuat Sebagian Cat Beberapa Mobil Membengkak”;Hasil periksa fakta Moch. Marcellodiansyah Faktanya cat dari mobil yang terlihat membengkak atau melembung tersebut sedang diisi oleh udara dari kompresor sebagai salah satu cara untuk melepas PPF ata;1
salah;1838;[SALAH] Video Ular Anaconda di Kalimantan Tengah;Hasil periksa fakta Evarizma Zahra. Konteks yang salah. Video tersebut adalah ular anaconda di Jalan  Santo Antônio do Leverger-MT, Brazil, bukan Kalimantan Tengah. ===== KATEGORI: KONTEKS YANG SALAH ;1
salah;2993;[SALAH] MK Bacakan Putusan Mendiskualifikasi Prabowo-Gibran;Hasil periksa fakta Panji Faktanya video tersebut telah dimanipulasi dengan mengubah suara Ketua MK, Suhartoyo, dengan suara Bambang Widjojanto, salah seorang anggota tim kuasa hukum paslon 01 yang se;1
salah;442;[SALAH] Foto “Korban Virus Machupo Akibat Konsumsi Paracetamol P-500”;Akun Facebook “Kaka Asdar” pada Selasa (17/12/2024) mengunggahfoto[arsip] yang memperlihatkan potret bangsal berisi pasien yang diduga merupakan korban virus dari Paracetamol P-500. Ada juga gambaran ;1
salah;972;[SALAH] Video Ikan Mati di Pantai Klara Kabupaten Pesawaran September 2024;Hasil periksa fakta Rahmah. Waktu kejadian salah. Video tersebut benar terjadi namun bukan di tahun 2024 melainkan tahun 2023 dan tidak berkaitan dengan isu bencana. KATEGORI: KONTEKS YANG SALAH SUMBE;1
salah;2643;[SALAH] Ustadz Felix Siauw Bekerja Sama dengan Mo Salah Membagikan Rezeki Melalui Situs Slot;Hasil periksa fakta Vendra Panji Faktanya video di Facebook yang menyebutkan Felix Siauw mendapat ajakan bekerja sama dengan Mo Salah untuk berbagi rejeki melalui situs judi online adalah video yang t;1
salah;213;[SALAH] Penampakan Arca Monster OCCRP yang Menelan Anggaran APBD Medan;Pada Jumat, 7/2/2025 beredarpost/cuitandi X/Twitter (arsip cadangan) yang memanfaatkan/menunggangi rilis OCCRP baru-baru ini tentang finalis tokoh-tokoh terkorup yang salah satunya adalah Jokowi denga;1
video;1541;[PENIPUAN] Bantuan Uang dari Presiden Jokowi Bagi yang Sudah Follow Tiktok;Hasil periksa fakta Panji Faktanya video tersebut adalah video ketika Jokowi memberikan pernyataan untuk melarang rakyat Indonesia berjudi baik secara online atau offline. Tidak ada pernyataan dari Jo;1
video;1286;[SALAH] Video Gempa Canada 19 Agustus 2024;Hasil periksa fakta Rahmah. Informasi keliru. Faktanya video tersebut gabungan beberapa video dari berbagai negara dan Menara CN di Kanada yang roboh adalah hasil suntingan oleh akun Tiktok Neyma Begl;1
video;1162;[SALAH] Video Christiano Ronaldo Memberikan Kode kepada Marteen Paes Saat Pinalti;Hasil periksa fakta Evarizma Zahra. Konten yang menyesatkan. Video itu merupakan gabungan dari dua video yang berbeda yang digabungkan menjadi satu. ===== KATEGORI: KONTEN YANG MENYESATKAN ===== Sumbe;1
video;1049;[SALAH] Penemuan Ikan Kecil Berkepala Mirip Sapi;Hasil periksa fakta Panji Berdasarkan dua situs pendeteksi AI menyebutkan hasil jika video yang menampilkan ikan berkepala sapi tersebut adalah video yang dibuat dengan manipulasi AI. =========== [KAT;1
video;164;[SALAH] Video Guru di Grobogan Lakukan Pelecehan Seksual Terhadap Murid;Akun X “Mdy_Asmara1701” mengunggahvideo[arsip] pada Selasa (11/2/2025) dengan klaim seorang guru di Grobogan, Jawa Tengah melakukan tindakan pelecehan seksual terhadap muridnya. Berikut cuitannya: “Gu;1
video;2341;[SALAH] Momen Penangkapan Linda Teman Vina Pembunuhan Cirebon;Hasil periksa fakta Dyah Febriyani Video tersebut bukan penangkapan Linda dalam kasus pembunuhan Vina Cirebon. Faktanya, dua cuplikan video itu merupakan penangkapan kasus narkoba dan pencurian Emas. ;1
video;1830;[SALAH] VIDEO CRISTIANO RONALDO MENERTAWAKAN VIDEO TENTARA PALESTINA;Hasil Periksa Fakta Gabriela Nauli Faktanya, video semacam itu dapat dengan mudah disandingkan dengan video yang berbeda-beda. Tidak ditemukan sumber asli video tersebut. Namun video reaksi CR7 terseb;1
video;1325;[SALAH] Video “Tsunami Jepang 9 Agustus 2024”;Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut merupakan video dari tsunami Jepang yang terjadi pada 11 Maret 2011. = = = Kategori: Konten yang Menyesatkan = = = Sumber: Snack Vide;1
video;2222;[SALAH] Presiden FIFA Coret Guinea dari Olimpiade 2024;Hasil periksa fakta Vendra Panji Faktanya Presiden FIFA, Gianni Infantino, tidak sama sekali mengeluarkan pernyataan jika FIFA mencoret Guinea dari Olimpiade 2024. Video yang ditampilkan berasal dari ;1
video;2613;[SALAH] Video Warga yang Menggendong Anaknya Jatuh ke Sungai karena Jembatan Rusak di Indonesia;Hasil periksa fakta Moch. Marcellodiansyah Beberapa media asing menyebut bahwa video tersebut berada di Provinsi Chiriquí, Panama. Sebuah akun Facebook asal Kolombia sejak Juni 2022 telah memposting v;1
video;953;[SALAH] Ikan Hias Berkepala Kambing;Hasil periksa fakta Panji Berdasarkan dua situs pendeteksi AI menyebutkan hasil jika video yang menampilkan ikan berkepala sapi tersebut adalah video yang dibuat dengan manipulasi AI. =========== [KAT;1
video;1081;[SALAH] “Video Viral di China, Terekam Harimau dengan Posisi Duduk Layaknya Manusia”;Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut dibuat dengan KLING AI, platform membuat gambar dan video dengan AI. Bukan rekaman yang diambil oleh manusia. = = = Kategori: Konten ;1
video;191;[SALAH] Video Sandra Dewi Menangis Mendengar Putusan Suaminya;Pada Kamis, 13/2/2025 beredarpost/cuitandi X/Twitter (arsip cadangan) yang membagikan video dengan narasi: “Sandra  dewi menangis Mendengar putusan suaminya  dalam perkara korupsi tata niaga komoditas;1
video;2755;[SALAH] Komeng Promosikan Situs Judi Online;Hasil periksa fakta Agnes A Video yang diunggah adalah hasil suntingan menggunakan teknologi AI. Video aslinya menunjukkan Komeng yang mempromosikan salah satu fitur layanan dari e-commerce Shopee. ==;1
video;1868;[SALAH] Video Anjing Laut Berkepala Sapi; Periksa Fakta Vania.Faktanya, video dalam unggahan tersebut merupakan hasil buatan AI atau Artificial Intelligence. ===== KATEGORI: Konten Palsu ===== Sumber: Twitterhttps://ghostarchive.org/archive/;1
video;1615;[SALAH] Penampilan Cheerleader Korea Utara di Olimpiade Paris 2024;Hasil periksa fakta Panji Faktanya video yang beredar tersebut diambil pada saat cheerleader Korea Utara tampil di Winter Olympics 2018 yang diadakan di Korea Selatan, video tersebut tidak terjadi di ;1
video;2255;[PENIPUAN] Pengusaha Raymond Chin Mempromosikan sebuah Situs Judi Online;Hasil periksa fakta Vendra Panji Faktanya video tersebut telah dimanipulasi dengan bantuan AI untuk merubah suara mereka. Di video aslinya Raymond Chin membahas mengenai anggapan jika investasi adalah;1
video;847;[PENIPUAN] Video Jhon Lbf Promosi Situs Judi Online;Akun Facebook “Revi5” pada Sabtu (28/9/2024) membagikanvideo[arsip] dengan narasi: “bang jhon lbf lagi bagi bagi mekswin ke semua orang segera daftar” Unggahan video ini sudah disukai lebih dari 4.400;1
video;1106;[SALAH] Ikan Berkepala Mirip Babi;Hasil periksa fakta Vendra Panji Berdasarkan dua situs pendeteksi AI menyebutkan hasil jika video yang menampilkan ikan berkepala babi tersebut adalah video yang dibuat dengan manipulasi AI. =========;1
video;2643;[SALAH] Ustadz Felix Siauw Bekerja Sama dengan Mo Salah Membagikan Rezeki Melalui Situs Slot;Hasil periksa fakta Vendra Panji Faktanya video di Facebook yang menyebutkan Felix Siauw mendapat ajakan bekerja sama dengan Mo Salah untuk berbagi rejeki melalui situs judi online adalah video yang t;1
foto;2690;[SALAH] “ISRAEL MENGHADANG TNI DI PERBATASAN”;MENYESATKAN, menunggangi situasi konflik Israel saat ini (2024). FAKTA: video yang dibagikan berisi potongan-potongan foto dan video yang konteksnya TIDAK berkaitan dengan klaim, salah satu potongan f;1
foto;1028;[SALAH] Hasil Foto Alasan Kenapa Burung Elang Difoto dari Samping;Hasil periksa fakta Moch. Marcellodiansyah Pemeriksa Fakta Mafindo sebelumnya telah membantah klaim tersebut. Peneliti Pusat Riset Biosistematika dan Evolusi BRIN menyebut bahwa foto tersebut dapat di;1
foto;1800;[SALAH] Foto Bocor dari 1860 yang Menunjukkan Beberapa Orang Berleher Panjang;Hasil periksa fakta Moch. Marcellodiansyah Setelah dilakukan pendeteksian AI, faktanya foto tersebut memiliki probabilitas adalah buatan AI sebesar 98,3%. = = = Kategori: Konten Palsu = = = Sumber: Fa;1
foto;2195;[SALAH] Kecam Kekejaman Zionis Israel, Ronaldo Bentangkan Bendera Palestina;Hasil periksa fakta Moch. Marcellodiansyah Faktanya foto asli menunjukkan Ronaldo membentangkan bendera Portugal, bukan bendera Palestina. Foto yang dijadikan bukti dalam postingan tersebut telah dima;1
foto;921;[SALAH] Perbandingan Foto Antrean Beras Tahun 1965 dan 2024, “Bedanya Sekarang Ada Jalan Tol Guys”;Hasil periksa fakta Moch. Marcellodiansyah Foto yang diklaim antrean beras pada tahun 1965 tersebut faktanya diambil pada 1947 saat warga lokal mengantre untuk pembagian pakaian yang diberikan oleh Pa;1
foto;2459;[SALAH] Foto-foto Puing Jatuhnya Helikopter yang Ditumpangi Presiden Iran;Hasil periksa fakta Moch. Marcellodiansyah Faktanya foto-foto tersebut merupakan jatuhnya pesawat latih milik Iran yang mengalami kecelakaan pada April 2020, bukan puing jatuhnya helikopter yang ditum;1
foto;1318;[SALAH] The Economist Memanipulasi Foto Sehingga Bendera Palestina Hilang dari Sampulnya;Hasil periksa fakta Evarizma Zahra. Konten yang menyesatkan. Foto yang digunakan The Economist untuk sampulnya tersebut diambil di kesempatan yang berbeda dengan foto yang diklaim sebagai foto asli. =;1
foto;1456;[SALAH] Foto Mall Pertama di IKN;Hasil Periksa Fakta Luthfiyah Foto yang diklaim merupakan Mall pertama di IKN merupakan hal yang tidak benar. Faktanya, foto yang menampilkan bagian dalam bangunan tersebut merupakan stasiun bawah tan;1
foto;2096;[PENIPUAN] Maia Estianty Menjadi Brand Ambassador Produk AC Mini Jepang;Hasil periksa fakta Vendra Panji Faktanya foto yang beredar di Facebook tersebut adalah hasil manipulasi, Maia dan suami bukan merupakanbrand ambassadorsuatu produk AC mini apapun. Foto tersebut digun;1
foto;1875;[SALAH] Foto Enam Wanita Muslim Berpose Bintang Daud Sebagai Dukungan Untuk Israel;Hasil periksa fakta Evarizma Zahra. Konten yang dimanipulasi. Foto tersebut merupakan hasil suntingan, bukan foto asli. ===== KATEGORI: KONTEN YANG DIMANIPULASI ===== Sumber: Twitterhttps://archive.ph;1
foto;1493;[SALAH] FOTO WISUDA INI NAMANYA HARI MULYONO;Hasil Periksa Fakta Gabriela Nauli Faktanya, foto pria di dalam unggahan tersebut merupakan foto lawas dari Presiden RI, Joko Widodo. Selengkapnya ada di penjelasan. =====[KATEGORI]: MISLEADING CONTEN;1
foto;1763;[SALAH] Jokowi Makan Sate Babi;Hasil periksa fakta Amanda Rahma Unggahan tersebut tidaklah benar. Foto yang diklaim ditemukan di artikel Viva. Artikel tersebut menjelaskan tentang fakta dari foto Jokowi yang sedang makan dan didepa;1
foto;1892;[SALAH] Foto Penemuan Bangkai Pesawat Malaysia Airlines MH370;Hasil periksa fakta Vendra Panji Berdasarkan temuan, foto-foto yang ditampilkan tersebut tidak ada kaitannya dengan pesawat Malaysia Airline, sebagian dari foto yang ditampilkan juga hanya merupakan r;1
foto;1891;[SALAH] Foto Sebuah Rumah yang Dibangun Miring;Hasil periksa fakta Vendra Panji Faktanya rumah tersebut dibangun di jalan yang curam, sehingga jika difoto dengan sudut pandang tertentu maka akan menghasilkan foto yang membuat seolah-olah bangunan ;1
foto;2923;[SALAH] FOTO BENYAMIN NETANYAHU TERBARING DI ATAS TEMPAT TIDUR DAN MEMAKAI ALAT PERNAPASAN;Hasil Periksa Fakta Gabriela Nauli Faktanya, foto tersebut merupakan hasil editan menggunakan teknologi AI. Selengkapnya ada di penjelasan. =====[KATEGORI]: FABRICATED CONTENT/Konten Palsu =====[SUMBE;1
foto;1772;[PENIPUAN] Maia Estianty dan Irwan Mussry Jadi Perwakilan Brand Smartwatch Jepang;Hasil periksa fakta Vendra Panji Faktanya foto yang beredar di Facebook tersebut adalah hasil manipulasi, Maia dan suami bukan merupakanbrand ambassadorsuatu produk jam tangan pintar apapun. Foto ters;1
foto;2798;[SALAH] Foto Prabowo Subianto dan Titiek Soeharto Naik Kereta Cepat;Hasil Periksa Fakta Dyah Febriyani Foto tersebut hasil editan. Foto aslinya Prabowo duduk berhadapan dengan Presiden Jokowi di dalam Kereta Api Cepat Indonesia dari Stasiun Halim, Jakarta Timur, menuj;1
foto;2159;[SALAH] Foto Para Pekerja Mesir Membangun Piramida Tahun 2549 SM;Hasil periksa fakta Raymondha Foto dengan klaim para pekerja piramida di Mesir selama masa pembangunan pada tahun 2549 SM adalah salah. Faktanya foto tersebut teridentifikasi bukanlah foto asli. Namun;1
foto;2030;[SALAH] Foto “Pemain Kriket Membentuk Lafadz Allah SWT”;Foto tersebut merupakan hasil buatan Artificial Intelligence (AI). Selengkapnya di bagian PENJELASAN dan REFERENSI.===========================================Kategori: Parodi==========================;1
foto;1012;[SALAH] Foto “Nelayan Papua Menangkap Hewan yang Belum Pernah Terlihat Sebelumnya”;Hasil periksa fakta Moch. Marcellodiansyah Faktanya foto-foto tersebut merupakan gambar hasil AI-generated dengan besaran persentasi probabilitas hingga 98,9%. = = = Kategori: Konten Palsu = = = Sumbe;1
penipuan;2056;[PENIPUAN] Taylor Swift Meminta Bantuan Dana;Hasil periksa fakta Agnes A Upaya penipuan dengan mencatut nama penyanyi Taylor Swift. ===== [KATEGORI]: Konten Tiruan ===== [SUMBER]: WhatsApp ===== [NARASI]: “Halo saya Taylor Swift. Bisa berbahasa ;1
penipuan;2057;[PENIPUAN] Lowongan Freelance Like dan Subscribe Youtube;Hasil periksa fakta Agnes A Modus penipuan. Korban akan diarahkan untuk mengirimkan sejumlah uang dan diiming-imingi keuntungan berlipat. ===== [KATEGORI]: Konten Palsu ===== [SUMBER]: WhatsApp ===== ;1
penipuan;1160;[PENIPUAN] Unggahan RANS Entertainment Berbagi Rezeki Menjelang Hari Batik Nasional 2 Oktober;Hasil periksa fakta Syifa Ainun. Unggahan pada akun Facebook Raya Rafa yang memberikan klaim RANS Entertainment akan berbagi rezeki menjelang hari batik adalah tidak benar dan terindikasi penipuan. Ha;1
penipuan;1934;[PENIPUAN] Akun Tiktok @baimwong.0ficiall Berisi Banyak Konten Giveaway;Hasil periksa fakta Vendra Panji Tidak benar bahwa akun tersebut adalah akun resmi milik Baim Wong, akun hanya berisi mengenai konten giveaway uang dan disertai sebuah link Whatsapp yang dicurigai seb;1
penipuan;1042;[PENIPUAN] Lowongan Kerja di KP2KP Makale;Hasil periksa fakta Rahmah. Faktanya melalui akun Facebook Pajak Kendari menegaskan lowongan tersebut tidak benar dan meminta masyarakat berhati-hati terhadap penipuan mengatasnamakan unit kerja di wi;1
penipuan;1175;[PENIPUAN] Video Bantuan 10 Juta dari Jokowi dengan Syarat Bagikan Video Sebanyak-banyaknya;Hasil periksa fakta Moch. Marcellodiansyah Setelah diidentifikasi dengan pendeteksi AI dari Hive Moderation, video tersebut terdeteksi sebesar 94,8% berisi konten buatan AI atau deepfake. Dapat dipast;1
